Price,ratings,Page number,Original_price,Discount,Brands,processor,number_of_ratings,number_of_reviews,RAM,Storage
38990,4.3,1,56919,31%,DELL,AMD,2013,135,16,512
38990,4.2,1,54479,28%,DELL,Intel,399,30,16,512
15990,3.8,1,32990,51%,Acer,Intel,6774,603,8,128
49990,4.3,1,89990,44%,ASUS,Intel,3463,275,16,512
12990,3.9,1,28690,54%,Lenovo,MediaTek,3181,272,4,512
64990,4.4,1,92390,29%,Samsung,Qualcomm,1534,126,16,512
12789,4.0,1,16999,24%,Lenovo,MediaTek,1737,129,4,512
34990,4.1,1,59990,41%,Acer,AMD,2963,309,16,512
26990,4.1,1,44990,40%,Acer,AMD,1213,94,8,512
26990,4.2,1,43000,37%,Acer,Intel,5393,398,8,512
50990,4.1,1,62190,18%,DELL,Intel,62,3,16,512
53990,4.4,1,92990,41%,ASUS,Qualcomm,703,51,16,512
38990,4.3,1,74990,48%,ASUS,Intel,3575,306,16,512
19990,3.8,1,35999,44%,Acer,Intel,6774,603,8,512
20499,3.8,1,33399,38%,Acer,Intel,6774,603,8,256
48990,4.4,1,82789,40%,Samsung,Intel,14553,1164,16,512
34900,4.1,1,53413,34%,HP,AMD,663,36,8,512
66990,4.4,1,98990,32%,ASUS,Qualcomm,703,51,16,512
28990,4.3,1,41198,29%,DELL,AMD,1885,250,8,512
23990,3.9,1,33999,29%,Acer,Intel,3418,257,8,512
35990,4.1,1,52115,30%,HP,Intel,2057,125,8,512
39990,4.1,1,50903,21%,HP,Intel,2057,125,16,512
36990,4.4,1,57499,35%,Samsung,Intel,8592,840,8,512
40990,4.2,1,52990,22%,ASUS,AMD,935,49,16,512
67990,4.5,2,106999,36%,Acer,Intel,463,53,16,512
34990,4.3,2,64990,46%,Infinix,Intel,557,81,16,512
34990,4.1,2,59990,41%,Acer,AMD,2963,309,16,512
64990,4.4,2,92390,29%,Samsung,Qualcomm,1534,126,16,512
72990,4.3,2,129990,43%,ASUS,Intel,709,54,32,512
16699,3.6,2,25990,35%,Thomson,Intel,58,14,4,128
38990,4.3,2,56919,31%,DELL,AMD,2013,135,16,512
53990,4.4,2,92990,41%,ASUS,Qualcomm,703,51,16,512
57990,4.3,2,73930,21%,HP,AMD,364,33,16,512
61990,4.4,2,89689,30%,Samsung,Intel,4560,303,16,512
56990,4.4,2,90990,37%,ASUS,Intel,714,49,16,512
36390,4.1,2,69990,48%,DELL,Intel,703,51,16,512
34900,4.1,2,53413,34%,HP,AMD,663,36,8,512
66990,4.4,2,98990,32%,ASUS,Qualcomm,703,51,16,512
38990,4.1,2,72999,46%,Acer,AMD,1491,108,16,512
24990,3.8,2,31933,21%,HP,Intel,453,16,8,512
39990,4.1,2,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,2,52115,30%,HP,Intel,2057,125,8,512
18990,4.4,2,29990,36%,Primebook,MediaTek,243,78,8,512
32390,3.5,2,60990,46%,HP,AMD,26,1,16,512
48499,4.2,2,75000,35%,Lenovo,Intel,127,9,16,512
35990,4.3,2,50990,29%,ASUS,Intel,2717,163,8,512
38990,4.2,2,54479,28%,DELL,Intel,399,30,16,512
44490,4.2,2,70990,37%,Lenovo,Intel,493,28,16,512
38990,4.3,3,54990,29%,ASUS,Intel,2717,163,16,512
21990,3.9,3,29999,26%,Acer,Intel,1809,164,12,256
64990,4.4,3,92390,29%,Samsung,Qualcomm,1534,126,16,512
38990,4.3,3,56919,31%,DELL,AMD,2013,135,16,512
10999,3.8,3,37690,70%,Lenovo,MediaTek,975,80,4,512
14999,4.4,3,19990,24%,ASUS,Intel,10,3,4,512
119990,4.0,3,162090,25%,Lenovo,Intel,3,1,16,512
34990,4.3,3,54990,36%,ASUS,Intel,2717,163,8,512
53990,4.4,3,92990,41%,ASUS,Qualcomm,703,51,16,512
34990,4.1,3,59990,41%,Acer,AMD,2963,309,16,512
38990,4.3,3,74990,48%,ASUS,Intel,3575,306,16,512
66990,4.4,3,98990,32%,ASUS,Intel,126,5,16,512
34900,4.1,3,53413,34%,HP,AMD,663,36,8,512
66990,4.4,3,98990,32%,ASUS,Qualcomm,703,51,16,512
46990,4.3,3,74999,37%,Acer,Intel,5978,512,16,512
49990,4.3,3,72990,31%,MSI,AMD,470,44,16,512
39990,4.1,3,54990,27%,Acer,AMD,2963,309,16,512
37990,4.1,3,63999,40%,Acer,AMD,2490,190,16,512
49990,4.3,3,93490,46%,Lenovo,Qualcomm,336,27,16,512
52490,4.2,3,65387,19%,HP,Intel,925,45,16,512
35990,4.3,3,50990,29%,ASUS,Intel,2717,163,8,512
44990,4.1,3,56990,21%,Acer,Intel,2079,182,16,512
35990,4.1,3,52115,30%,HP,Intel,2057,125,8,512
38990,4.2,3,54479,28%,DELL,Intel,399,30,16,512
40990,4.2,4,70990,42%,DELL,Intel,31,2,16,512
35990,4.2,4,46990,23%,Acer,Intel,254,16,16,512
59981,4.3,4,77990,23%,ASUS,Intel,1153,124,8,512
38990,3.8,4,51990,25%,ASUS,Intel,45,4,8,512
34990,4.1,4,59990,41%,Acer,AMD,2963,309,16,512
64990,4.4,4,92390,29%,Samsung,Qualcomm,1534,126,16,512
49990,4.3,4,64990,23%,ASUS,Intel,1070,78,16,512
67990,4.6,4,85900,20%,Apple,Apple,10032,644,16,256
38990,4.3,4,56919,31%,DELL,AMD,2013,135,16,512
53990,4.4,4,92990,41%,ASUS,Qualcomm,703,51,16,512
38990,4.2,4,54479,28%,DELL,Intel,399,30,16,512
31550,4.1,4,44990,29%,Acer,AMD,730,92,8,512
41500,4.1,4,55691,25%,HP,AMD,328,24,16,512
49990,4.4,4,78189,36%,Samsung,Intel,14553,1164,8,512
34900,4.1,4,53413,34%,HP,AMD,663,36,8,512
66990,4.4,4,98990,32%,ASUS,Qualcomm,703,51,16,512
32990,4.2,4,50990,35%,MSI,Intel,85,10,16,512
52191,3.9,4,69990,25%,Acer,Intel,31,0,16,512
39990,4.1,4,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,4,52115,30%,HP,Intel,2057,125,8,512
37290,4.4,4,76990,51%,Acer,Intel,8,1,24,512
34990,3.9,4,59999,41%,HP,Intel,54,3,8,512
34990,4.1,4,56999,38%,Acer,AMD,2490,190,16,512
30990,4.3,4,47190,34%,Lenovo,AMD,24,3,8,512
64990,4.4,5,92390,29%,Samsung,Qualcomm,1534,126,16,512
38990,4.3,5,56919,31%,DELL,AMD,2013,135,16,512
44990,4.1,5,68999,34%,Acer,AMD,455,38,16,512
44990,4.3,5,64990,30%,Acer,Intel,1175,76,16,512
34990,4.1,5,59990,41%,Acer,AMD,2963,309,16,512
53990,4.4,5,92990,41%,ASUS,Qualcomm,703,51,16,512
34490,4.0,5,65990,47%,DELL,Intel,100,9,8,512
17990,3.8,5,33399,46%,Acer,Intel,6774,603,8,256
50850,4.3,5,75990,33%,Acer,Intel,89,6,16,512
33990,4.2,5,47290,28%,Lenovo,AMD,6872,562,8,512
34900,4.1,5,53413,34%,HP,AMD,663,36,8,512
66990,4.4,5,98990,32%,ASUS,Qualcomm,703,51,16,512
47200,4.6,5,76690,38%,Lenovo,Intel,8,0,16,512
65000,4.1,5,125000,48%,Lenovo,Snapdragon,528,68,16,512
39990,4.1,5,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,5,52115,30%,HP,Intel,2057,125,8,512
36880,4.1,5,59599,38%,HP,AMD,663,36,8,512
42990,4.3,5,62100,30%,Lenovo,AMD,366,26,16,512
22990,4.4,5,34990,34%,Primebook,MediaTek,243,78,8,512
77990,4.1,5,114999,32%,Acer,Intel,166,23,16,512
38990,4.2,5,54479,28%,DELL,Intel,399,30,16,512
48990,4.4,5,93990,47%,MOTOROLA,Intel,1825,198,16,512
37900,4.2,5,83238,54%,Lenovo,AMD,6872,562,16,512
43980,4.3,5,60990,27%,ASUS,Intel,8886,619,16,512
34990,4.1,6,59990,41%,Acer,AMD,2963,309,16,512
64990,4.4,6,92390,29%,Samsung,Qualcomm,1534,126,16,512
45990,4.1,6,73990,37%,MSI,Intel,140,11,16,512
61199,4.3,6,84999,28%,Acer,Intel,2414,170,16,512
34990,4.3,6,64990,46%,Infinix,Intel,557,81,16,512
39990,4.3,6,56990,29%,ASUS,Intel,2717,163,16,512
38990,4.3,6,56919,31%,DELL,AMD,2013,135,16,512
53990,4.4,6,92990,41%,ASUS,Qualcomm,703,51,16,512
59990,4.4,6,95990,37%,ASUS,Intel,258,20,16,512
34990,4.3,6,49990,30%,ASUS,Intel,2717,163,8,512
34900,4.1,6,53413,34%,HP,AMD,663,36,8,512
66990,4.4,6,98990,32%,ASUS,Qualcomm,703,51,16,512
42990,4.3,6,62100,30%,Lenovo,AMD,366,26,16,512
144699,4.1,6,154900,6%,Apple,Apple,703,51,24,512
30990,4.3,6,47190,34%,Lenovo,AMD,24,3,8,512
36390,4.1,6,67690,46%,Lenovo,AMD,285,19,8,512
39990,4.1,6,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,6,52115,30%,HP,Intel,2057,125,8,512
35990,4.2,6,46990,23%,Acer,Intel,254,16,16,512
51930,4.3,6,66734,22%,HP,Intel,6,2,16,512
38990,4.2,6,54479,28%,DELL,Intel,399,30,16,512
44490,4.2,6,70990,37%,Lenovo,Intel,493,28,16,512
37990,4.1,6,49990,24%,Acer,Intel,937,76,16,512
49990,4.3,6,72990,31%,MSI,AMD,470,44,16,512
33938,3.9,7,42990,21%,Acer,Intel,64,7,8,512
50850,4.3,7,75990,33%,Acer,Intel,89,6,16,512
38990,4.3,7,56919,31%,DELL,AMD,2013,135,16,512
34990,4.1,7,59990,41%,Acer,AMD,2963,309,16,512
89990,4.5,7,114990,21%,ASUS,AMD,581,22,16,512
14999,4.4,7,19990,24%,ASUS,Intel,10,3,4,512
64990,4.4,7,92390,29%,Samsung,Qualcomm,1534,126,16,512
38990,4.2,7,54479,28%,DELL,Intel,399,30,16,512
34990,3.7,7,57990,39%,ASUS,Intel,39,2,8,512
27500,4.0,7,30336,9%,HP,AMD,295,20,8,256
82990,4.7,7,132890,37%,MOTOROLA,Intel,51,6,32,512
53990,4.4,7,92990,41%,ASUS,Qualcomm,703,51,16,512
34900,4.1,7,53413,34%,HP,AMD,663,36,8,512
66990,4.4,7,98990,32%,ASUS,Qualcomm,703,51,16,512
40990,4.2,7,52990,22%,ASUS,AMD,935,49,16,512
35990,4.1,7,52115,30%,HP,Intel,2057,125,8,512
39990,4.1,7,50903,21%,HP,Intel,2057,125,16,512
65990,4.3,7,99990,34%,ASUS,Intel,709,54,16,512
54990,4.5,7,72990,24%,ASUS,Intel,108,6,16,512
41500,4.1,7,55691,25%,HP,AMD,328,24,16,512
26990,4.1,7,44990,40%,Acer,AMD,101,9,8,256
44490,4.2,7,70990,37%,Lenovo,Intel,493,28,16,512
52490,4.2,7,65387,19%,HP,Intel,925,45,16,512
36990,4.2,8,50990,27%,ASUS,AMD,935,49,8,512
48749,4.2,8,78590,37%,Lenovo,Intel,1112,77,16,512
72990,4.3,8,98040,25%,DELL,Intel,197,21,16,512
34990,4.1,8,59990,41%,Acer,AMD,2963,309,16,512
52990,4.1,8,99999,47%,Acer,Intel,1165,113,16,512
63990,4.4,8,90490,29%,Lenovo,AMD,891,66,24,512
51348,4.2,8,73410,30%,DELL,Intel,969,55,16,512
69990,4.5,8,125890,44%,Lenovo,AMD,106,13,16,512
64990,4.4,8,92390,29%,Samsung,Qualcomm,1534,126,16,512
92490,4.1,8,116859,20%,DELL,Intel,703,51,16,512
52990,4.2,8,64874,18%,DELL,Intel,548,29,16,512
41990,4.2,8,59990,30%,CHUWI,Intel,56,4,16,512
38990,4.3,8,56919,31%,DELL,AMD,2013,135,16,512
72490,4.3,8,94762,23%,DELL,Intel,197,21,16,512
46990,4.3,8,74999,37%,Acer,Intel,5978,512,16,512
51990,4.1,8,55691,6%,HP,AMD,292,19,16,512
30990,4.1,8,49990,38%,Infinix,AMD,73,11,8,512
36990,4.3,8,58990,37%,MSI,Intel,182,15,16,512
53990,4.4,8,92990,41%,ASUS,Qualcomm,703,51,16,512
34900,4.1,8,53413,34%,HP,AMD,663,36,8,512
57990,4.3,8,73999,21%,Acer,Intel,37,6,16,512
82990,4.1,8,96958,14%,HP,Intel,317,34,16,512
66990,4.4,8,98990,32%,ASUS,Qualcomm,703,51,16,512
35990,4.1,8,52115,30%,HP,Intel,2057,125,8,512
55990,4.1,9,104999,46%,Acer,Intel,478,36,16,512
48490,4.2,9,66090,26%,Lenovo,Intel,2615,131,8,512
34990,3.7,9,57990,39%,ASUS,Intel,39,2,8,512
30990,4.3,9,50990,39%,ASUS,AMD,3197,290,8,512
64990,4.4,9,92390,29%,Samsung,Qualcomm,1534,126,16,512
38990,4.3,9,56919,31%,DELL,AMD,2013,135,16,512
21799,4.2,9,23990,9%,ASUS,Intel,50,5,8,512
75990,4.5,9,99990,24%,Samsung,Intel,368,42,16,512
53990,4.4,9,92990,41%,ASUS,Qualcomm,703,51,16,512
34990,4.1,9,59990,41%,Acer,AMD,2963,309,16,512
46999,4.2,9,54552,13%,HP,AMD,5325,345,8,512
51490,4.2,9,69890,26%,Lenovo,Intel,2615,131,16,512
36390,4.1,9,69990,48%,DELL,Intel,703,51,16,512
36990,4.1,9,48419,23%,HP,AMD,17,4,8,512
34900,4.1,9,53413,34%,HP,AMD,663,36,8,512
66990,4.4,9,98990,32%,ASUS,Qualcomm,703,51,16,512
65990,4.3,9,81201,18%,HP,Intel,458,33,16,512
37890,4.1,9,62990,39%,Lenovo,AMD,1726,154,16,512
39990,4.1,9,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,9,52115,30%,HP,Intel,2057,125,8,512
52199,4.5,9,59899,12%,HP,AMD,1859,177,8,512
66990,4.4,9,98990,32%,ASUS,Intel,126,5,16,512
41990,4.4,9,64990,35%,MSI,AMD,4820,540,16,512
63990,4.4,9,90490,29%,Lenovo,AMD,891,66,24,512
64990,4.4,10,92390,29%,Samsung,Qualcomm,1534,126,16,512
38990,4.3,10,56919,31%,DELL,AMD,2013,135,16,512
32490,3.5,10,65000,50%,HP,AMD,26,1,16,512
59990,4.4,10,92990,35%,ASUS,Qualcomm,703,51,16,512
53990,4.4,10,92990,41%,ASUS,Qualcomm,703,51,16,512
34990,4.1,10,59990,41%,Acer,AMD,2963,309,16,512
72990,4.4,10,110990,34%,ASUS,Intel,152,12,16,512
23990,3.8,10,30001,20%,HP,Intel,1556,139,4,512
64990,4.3,10,87990,26%,ASUS,Intel,34,3,16,512
26490,4.0,10,44990,41%,HP,AMD,277,19,8,256
34900,4.1,10,53413,34%,HP,AMD,663,36,8,512
66990,4.4,10,98990,32%,ASUS,Qualcomm,703,51,16,512
45990,4.2,10,73990,37%,ASUS,Intel,8719,484,16,512
67990,4.2,10,87262,22%,HP,Intel,708,37,16,512
39990,4.1,10,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,10,52115,30%,HP,Intel,2057,125,8,512
37999,4.3,10,50990,25%,ASUS,Intel,339,29,8,512
82990,4.1,10,96958,14%,HP,Intel,317,34,16,512
49950,4.0,10,76990,35%,Lenovo,Intel,47,4,16,512
34990,4.3,10,49990,30%,ASUS,Intel,2717,163,8,512
38990,4.2,10,54479,28%,DELL,Intel,399,30,16,512
48990,4.4,10,93990,47%,MOTOROLA,Intel,1825,198,16,512
51990,4.1,10,55691,6%,HP,AMD,292,19,16,512
14999,4.4,10,19990,24%,ASUS,Intel,10,3,4,512
34990,4.1,11,59990,41%,Acer,AMD,2963,309,16,512
64990,4.4,11,92390,29%,Samsung,Qualcomm,1534,126,16,512
29980,4.0,11,39990,25%,Lenovo,AMD,227,20,8,512
13490,4.7,11,23990,43%,Primebook,MediaTek,22,9,4,512
52191,3.9,11,69990,25%,Acer,Intel,31,0,16,512
30990,4.2,11,47990,35%,MSI,Intel,85,10,8,512
50990,4.1,11,62190,18%,DELL,Intel,62,3,16,512
38990,4.3,11,56919,31%,DELL,AMD,2013,135,16,512
79990,4.4,11,116990,31%,ASUS,Intel,35,2,16,512
45990,4.2,11,74990,38%,ASUS,Intel,1298,88,16,512
53990,4.4,11,92990,41%,ASUS,Qualcomm,703,51,16,512
34900,4.1,11,53413,34%,HP,AMD,663,36,8,512
57799,4.3,11,62526,7%,HP,Intel,8131,371,16,512
37790,4.2,11,70990,46%,DELL,Intel,172,11,16,512
34990,4.2,11,49422,29%,DELL,Intel,445,33,8,512
75990,4.5,11,99990,24%,Samsung,Intel,368,42,16,512
66990,4.4,11,98990,32%,ASUS,Qualcomm,703,51,16,512
39990,4.1,11,50903,21%,HP,Intel,2057,125,16,512
36990,4.2,11,50990,27%,ASUS,AMD,935,49,8,512
40990,4.4,11,74990,45%,ASUS,AMD,3000,249,8,512
35990,4.1,11,52115,30%,HP,Intel,2057,125,8,512
38990,4.2,11,54479,28%,DELL,Intel,399,30,16,512
58990,4.2,11,114990,48%,ASUS,Intel,168,9,32,512
71990,4.4,11,102990,30%,ASUS,Qualcomm,703,51,16,512
89100,4.2,12,96136,7%,HP,AMD,735,54,16,512
63990,4.4,12,86990,26%,ASUS,Intel,680,50,16,512
64990,4.4,12,92390,29%,Samsung,Qualcomm,1534,126,16,512
38990,4.3,12,56919,31%,DELL,AMD,2013,135,16,512
40990,4.4,12,55990,26%,MSI,Intel,355,35,8,512
62990,4.0,12,97999,35%,Acer,Intel,171,16,16,512
53990,4.4,12,92990,41%,ASUS,Qualcomm,703,51,16,512
34990,4.1,12,59990,41%,Acer,AMD,2963,309,16,512
50899,4.5,12,65622,22%,HP,Intel,37,2,8,512
34990,4.0,12,49990,30%,Lenovo,AMD,417,24,8,512
98594,4.5,12,137988,28%,Samsung,Intel,51,5,16,512
34990,4.2,12,51990,32%,MSI,Intel,85,10,16,512
34900,4.1,12,53413,34%,HP,AMD,663,36,8,512
66990,4.4,12,98990,32%,ASUS,Qualcomm,703,51,16,512
38088,4.3,12,51266,25%,HP,Intel,6492,377,8,512
23447,3.8,12,32990,28%,ASUS,Intel,2997,259,8,512
39990,4.1,12,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,12,52115,30%,HP,Intel,2057,125,8,512
34990,4.2,12,49422,29%,DELL,Intel,445,33,8,512
51990,4.2,12,83743,37%,Lenovo,Intel,1863,141,16,512
51990,4.4,12,81990,36%,ASUS,Qualcomm,356,33,16,512
16490,3.0,12,35990,54%,Ultimus,Intel,4,0,8,256
38990,4.2,12,54479,28%,DELL,Intel,399,30,16,512
48990,4.4,12,93990,47%,MOTOROLA,Intel,1825,198,16,512
39990,3.9,13,54552,26%,HP,AMD,87,4,8,512
79990,4.4,13,116990,31%,ASUS,Intel,35,2,16,512
72990,4.3,13,98040,25%,DELL,Intel,197,21,16,512
64990,4.4,13,92390,29%,Samsung,Qualcomm,1534,126,16,512
42990,4.2,13,69990,38%,ASUS,Intel,8719,484,8,512
33990,4.3,13,44990,24%,HP,AMD,310,46,8,512
29490,4.1,13,42990,31%,Lenovo,AMD,127,11,8,512
66990,4.4,13,98990,32%,ASUS,Intel,126,5,16,512
50990,4.1,13,62190,18%,DELL,Intel,62,3,16,512
38990,4.2,13,54479,28%,DELL,Intel,399,30,16,512
56990,4.1,13,70990,19%,Lenovo,Intel,1608,135,16,512
16699,3.6,13,25990,35%,Thomson,Intel,58,14,4,128
38990,4.3,13,56919,31%,DELL,AMD,2013,135,16,512
53990,4.4,13,92990,41%,ASUS,Qualcomm,703,51,16,512
71990,4.1,13,96990,25%,ASUS,Intel,703,51,16,512
42990,4.2,13,57990,25%,MSI,Intel,10,1,8,512
73990,4.0,13,114999,35%,Acer,Intel,171,16,16,512
62990,4.3,13,85990,26%,ASUS,Intel,503,32,16,512
34990,4.1,13,59990,41%,Acer,AMD,2963,309,16,512
34900,4.1,13,53413,34%,HP,AMD,663,36,8,512
38199,4.2,13,50843,24%,HP,Intel,572,36,8,512
50490,4.1,13,64382,21%,DELL,Intel,24,1,16,512
66990,4.4,13,98990,32%,ASUS,Qualcomm,703,51,16,512
35990,4.1,13,52115,30%,HP,Intel,2057,125,8,512
71990,4.2,14,98990,27%,MSI,Intel,32,6,16,512
47990,4.0,14,64999,26%,HP,Intel,125,6,8,512
44949,4.1,14,55000,18%,HP,Intel,16,2,8,512
28990,3.8,14,44990,35%,HP,Intel,124,6,8,512
64990,4.4,14,92390,29%,Samsung,Qualcomm,1534,126,16,512
53990,4.4,14,92990,41%,ASUS,Qualcomm,703,51,16,512
46490,4.3,14,65973,29%,DELL,Intel,389,19,8,512
29490,4.1,14,42990,31%,Lenovo,AMD,127,11,8,512
34990,4.1,14,59990,41%,Acer,AMD,2963,309,16,512
34900,4.1,14,53413,34%,HP,AMD,663,36,8,512
73990,4.0,14,114999,35%,Acer,Intel,171,16,16,512
65990,4.4,14,86990,24%,ASUS,AMD,2795,150,16,512
72990,4.3,14,105090,30%,Lenovo,Intel,1398,92,16,512
36990,4.0,14,70990,47%,Acer,Intel,47,11,16,512
66990,4.4,14,98990,32%,ASUS,Qualcomm,703,51,16,512
